Company Name,contact,Phone,State,Email
Acme Robotics Inc,Dana Whitfield,(415) 555-0132,CA,dana@acmerobotics.com
ACME Robotics,dana whitfield,415.555.0132,California,d.whitfield@acmerobotics.com
Northwind Traders,Priya Raman,206-555-0148,WA,priya.raman@northwind.co
Globex Corporation,Arthur Pennington,(212) 555-0171,New York,apennington@globex.com
Initech LLC,Milton Fry,5125550190,Tex.,milton@initech.io
Soylent Foods,Grace Okafor,415 555 0203,CA,grace@soylentfoods.com
Umbrella Health,Ravi Chandra,+1 617-555-0110,MA,ravi.chandra@umbrellahealth.org
Stark Industries,Pepper Hogan,(310) 555-0166,California,pepper@stark-ind.com
Wayne Enterprises,Lucius Fox Jr.,(312) 555-0129,IL,lucius@wayne-ent.com
Hooli,Gavin Reddy,650-555-0187,CA,gavin@hooli.xyz
Pied Piper,Richard Chen,(650) 555-0144,Calif.,richard@piedpiper.com
Vandelay Industries,Art Vandelay,2015550175,NJ,art@vandelay.com
Wonka Confectionery,Willy Vasquez,312.555.0198,Illinois,willy@wonka.com
Cyberdyne Systems,Sarah Kim,818-555-0159,CA,skim@cyberdyne.net
Tyrell Corp,Eldon Tybalt,(213) 555-0122,California,eldon@tyrell.com
Gringotts Financial,Ronan Griphook,+1 212 555 0163,New York,ronan@gringotts.bank
Oscorp Labs,Norah Osborne,7185550140,NY,norah@oscorplabs.com
Aperture Science,Cara Johnson,425.555.0181,Washington,cara@aperturesci.com
Massive Dynamic,Nina Sharp,(917) 555-0135,NY,nina@massivedynamic.com
Bluth Company,Michael B.,949-555-0152,CA,michael@bluthco.com
Dunder Mifflin,Pam Halpert,570-555-0117,PA,pam@dundermifflin.com
Sterling Cooper,Don Drake,(646) 555-0193,New York,don@sterlingcooper.com
Prestige Worldwide,Brennan Huff,305.555.0128,FL,brennan@prestigeww.com
Nakatomi Trading,Holly Gennaro,(310) 555-0176,California,holly@nakatomi.co
Gekko Capital,Bud Fox,212 555 0184,NY,bud@gekkocap.com
